author;category;Nombre de titolo
Joshua Khan;culture;6
Total Joshua Khan;;6
Joshua Lucas;science;8
Total Joshua Lucas;;8
Joshua Pollack;security;1
Total Joshua Pollack;;1
Joshua Quittner;(vide);7
Total Joshua Quittner;;7
Joshua Rivera;culture;1
Total Joshua Rivera;;1
Joshua Robertson;science;1
Total Joshua Robertson;;1
Joshua Roebke;science;1
Total Joshua Roebke;;1
Joshua Shapiro;(vide);2
Total Joshua Shapiro;;2
Joshua Sokol;culture;1
Joshua Sokol;science;18
Total Joshua Sokol;;19
Joshua Zitser;business;1
Joshua Zitser;culture;1
Total Joshua Zitser;;2
Joshua Zukas;business;1
Total Joshua Zukas;;1
Joshuah Bearman;science;1
Joshuah Bearman;security;3
Total Joshuah Bearman;;4
Josie Colt;gear;17
Josie Colt;(vide);1
Total Josie Colt;;18
Josie Garthwaite;science;1
Total Josie Garthwaite;;1
Josie Glausiusz;culture;1
Total Josie Glausiusz;;1
Josie Thaddeus-Johns;culture;2
Total Josie Thaddeus-Johns;;2
Joyce Slaton;business;3
Joyce Slaton;culture;83
Joyce Slaton;science;2
Joyce Slaton;security;2
Total Joyce Slaton;;90
Joyce Slaton Debbi Gardiner;culture;2
Total Joyce Slaton Debbi Gardiner;;2
Juan Enriquez;business;1
Juan Enriquez;science;2
Total Juan Enriquez;;3
Judd Schorr;(vide);7
Total Judd Schorr;;7
Jude Stewart;ideas;1
Total Jude Stewart;;1
Jude Whiley;ideas;1
Total Jude Whiley;;1
Judith Lewis;(vide);1
Total Judith Lewis;;1
Judith S. Donath;opinion;1
Total Judith S. Donath;;1
Judy Berna;culture;1
Judy Berna;(vide);83
Total Judy Berna;;84
Judy Bryan;business;2
Judy Bryan;culture;19
Judy Bryan;(vide);2
Total Judy Bryan;;23
Judy DeMocker;business;2
Judy DeMocker;culture;52
Judy DeMocker;science;6
Total Judy DeMocker;;60
Judy Dutton;gear;1
Judy Dutton;science;3
Judy Dutton;(vide);1
Total Judy Dutton;;5
Judy Lessin;(vide);1
Total Judy Lessin;;1
Juha Saarinen;security;9
Total Juha Saarinen;;9
Jules;culture;1
Jules;(vide);40
Total Jules;;41
Jules Marshall;(vide);6
Total Jules Marshall;;6
Juli Fraga;culture;1
Total Juli Fraga;;1
Julia Angwin;security;1
Total Julia Angwin;;1
Julia Barton;security;1
Total Julia Barton;;1
Julia Greenberg;business;236
Julia Greenberg;culture;9
Julia Greenberg;design;1
Julia Greenberg;gear;1
Julia Greenberg;opinion;1
Julia Greenberg;science;7
Julia Greenberg;security;2
Julia Greenberg;(vide);3
Total Julia Greenberg;;260
Julia Halperin;design;1
Total Julia Halperin;;1
Julia Lurie;science;2
Total Julia Lurie;;2
Julia Powles;business;3
Julia Powles;culture;1
Total Julia Powles;;4
Julia Reda;ideas;1
Total Julia Reda;;1
Julia Sabin;(vide);1
Total Julia Sabin;;1
Julia Scheeres;business;84
Julia Scheeres;culture;42
Julia Scheeres;gear;1
Julia Scheeres;science;36
Julia Scheeres;security;53
Total Julia Scheeres;;216
Julia Shaw;business;1
Julia Shaw;security;1
Total Julia Shaw;;2
Julia Ticona;ideas;1
Total Julia Ticona;;1
Julia Whitty;science;1
Total Julia Whitty;;1
Julian Chokkattu;business;2
Julian Chokkattu;gear;135
Julian Chokkattu;trends;2
Total Julian Chokkattu;;139
Julian Dibbell;culture;3
Julian Dibbell;(vide);5
Total Julian Dibbell;;8
Julian Guthrie;the big story;1
Total Julian Guthrie;;1
Julian Prokaza;business;1
Total Julian Prokaza;;1
Julian Sanchez;ideas;1
Julian Sanchez;opinion;2
Julian Sanchez;security;2
Total Julian Sanchez;;5
Julian Sancton;business;1
Julian Sancton;culture;1
Total Julian Sancton;;2
Julian Simon;(vide);2
Total Julian Simon;;2
Julian Smith;science;2
Julian Smith;(vide);1
Total Julian Smith;;3
Juliana Reyes;the big story;1
Total Juliana Reyes;;1
Julianne Ross;business;1
Total Julianne Ross;;1
Julie Charnet;gear;2
Julie Charnet;science;1
Total Julie Charnet;;3
Julie Fukunaga;culture;2
Total Julie Fukunaga;;2
Julie Gallagher;gear;1
Total Julie Gallagher;;1
Julie Greenberg;(vide);6
Total Julie Greenberg;;6
Julie H. Case;business;1
Julie H. Case;science;1
Total Julie H. Case;;2
Julie Hanna;business;1
Total Julie Hanna;;1
Julie Meidinger;(vide);1
Total Julie Meidinger;;1
Julie Muncy;culture;432
Total Julie Muncy;;432
Julie Petersen;(vide);1
Total Julie Petersen;;1
Julie Rehmeyer;science;1
Julie Rehmeyer;(vide);11
Total Julie Rehmeyer;;12
Julie Samuels;opinion;1
Total Julie Samuels;;1
Julie Sloan;business;1
Total Julie Sloan;;1
Julie Sloane;business;22
Total Julie Sloane;;22
Julie Sullivan;business;1
Julie Sullivan;science;2
Julie Sullivan;(vide);38
Total Julie Sullivan;;41
Julienne Graebner;culture;1
Total Julienne Graebner;;1
Jumi Akinfenwa;business;1
Total Jumi Akinfenwa;;1
Junae Benne;culture;2
Total Junae Benne;;2
June Gruber;science;1
Total June Gruber;;1
Junho Kim;gear;1
Total Junho Kim;;1
Jürgen Schmidhuber;science;1
Total Jürgen Schmidhuber;;1
Jurvetson;(vide);3
Total Jurvetson;;3
Justice Namaste;culture;8
Justice Namaste;photo;1
Justice Namaste;science;2
Total Justice Namaste;;11
Justin Cox ????;the big story;1
Total Justin Cox ????;;1
Justin Fox;opinion;1
Total Justin Fox;;1
Justin Hall;(vide);1
Total Justin Hall;;1
Justin Heckert;culture;1
Total Justin Heckert;;1
Justin Jaffe;business;4
Justin Jaffe;culture;1
Justin Jaffe;science;2
Total Justin Jaffe;;7
Justin Krause;the big story;1
Total Justin Krause;;1
Justin Ling;business;2
Justin Ling;culture;1
Justin Ling;security;19
Total Justin Ling;;22
Justin McLachlan;business;1
Justin McLachlan;(vide);3
Total Justin McLachlan;;4
Justin Monroe;culture;1
Justin Monroe;(vide);1
Total Justin Monroe;;2
Justin Peters;the big story;2
Total Justin Peters;;2
Justin Pot;gear;40
Justin Pot;science;2
Justin Pot;security;2
Total Justin Pot;;44
Justin Rosenstein;opinion;1
Total Justin Rosenstein;;1
Justin Sherman;ideas;27
Justin Sherman;security;2
Total Justin Sherman;;29
Justin Silverman;(vide);2
Total Justin Silverman;;2
Justin Smith-Ruiu;culture;1
Justin Smith-Ruiu;the big story;1
Total Justin Smith-Ruiu;;2
Justin Talbot-Zorn;opinion;1
Total Justin Talbot-Zorn;;1
Justine Calma;science;1
Total Justine Calma;;1
Jyoti Madhusoodanan;ideas;1
Total Jyoti Madhusoodanan;;1
K McGowan;the big story;5
Total K McGowan;;5
K. Gretchen Greene;science;1
Total K. Gretchen Greene;;1
K. J. Yossman;the big story;1
Total K. J. Yossman;;1
K.E.D. Coan, Ars Technica;science;2
Total K.E.D. Coan, Ars Technica;;2
K.G. Orphanides;business;94
K.G. Orphanides;culture;15
K.G. Orphanides;gear;11
K.G. Orphanides;science;50
K.G. Orphanides;security;22
K.G. Orphanides;the big story;1
Total K.G. Orphanides;;193
Kaamil Ahmed;business;5
Kaamil Ahmed;culture;1
Kaamil Ahmed;gear;1
Total Kaamil Ahmed;;7
Kaamil Ahmed & Jeremy White;business;2
Total Kaamil Ahmed & Jeremy White;;2
Kabir Chibber;business;1
Total Kabir Chibber;;1
Kadhim Shubber - Wired UK;business;31
Kadhim Shubber - Wired UK;culture;8
Kadhim Shubber - Wired UK;design;1
Kadhim Shubber - Wired UK;gear;1
Kadhim Shubber - Wired UK;science;22
Kadhim Shubber - Wired UK;security;3
Total Kadhim Shubber - Wired UK;;66
Kai Keller;business;1
Total Kai Keller;;1
Kai Kupferschmidt;science;1
Total Kai Kupferschmidt;;1
Kai Schächtele;science;1
Total Kai Schächtele;;1
Kai Staats;science;1
Total Kai Staats;;1
Kai-Fu Lee;business;4
Kai-Fu Lee;ideas;1
Kai-Fu Lee;the big story;3
Total Kai-Fu Lee;;8
Kaila Hale-Stern;culture;1
Total Kaila Hale-Stern;;1
Kaiser Fung;ideas;2
Total Kaiser Fung;;2
Kaitlin Duffy;business;1
Total Kaitlin Duffy;;1
Kaitlin Quistgaard;business;103
Kaitlin Quistgaard;culture;2
Kaitlin Quistgaard;science;1
Kaitlin Quistgaard;security;6
Kaitlin Quistgaard;(vide);9
Total Kaitlin Quistgaard;;121
Kaitlyn Tiffany;ideas;1
Total Kaitlyn Tiffany;;1
Kaleigh Rogers;the big story;1
Total Kaleigh Rogers;;1
Kalen Goodluck;science;2
Total Kalen Goodluck;;2
Kalev Leetaru;opinion;1
Total Kalev Leetaru;;1
Kali Tal;(vide);1
Total Kali Tal;;1
Kalina Phillips;culture;1
Kalina Phillips;gear;1
Total Kalina Phillips;;2
Kalynn Brower;(vide);9
Total Kalynn Brower;;9
Kam Burns;culture;5
Kam Burns;photo;1
Total Kam Burns;;6
Kamala Thiagarajan;science;2
Total Kamala Thiagarajan;;2
Kambiz Foroohar;(vide);2
Total Kambiz Foroohar;;2
Kamiab Ghorbanpour;business;1
Total Kamiab Ghorbanpour;;1
Kareem Abdul-Jabbar;opinion;1
Total Kareem Abdul-Jabbar;;1
Karen Bartlett;science;1
Total Karen Bartlett;;1
Karen Bradley;business;1
Total Karen Bradley;;1
Karen Breslau;(vide);4
Total Karen Breslau;;4
Karen Donovan;(vide);1
Total Karen Donovan;;1
Karen Emslie;the big story;1
Total Karen Emslie;;1
Karen Eng;(vide);11
Total Karen Eng;;11
Karen Gregory;ideas;1
Total Karen Gregory;;1
Karen Harbaugh;(vide);1
Total Karen Harbaugh;;1
Karen Hugg;gear;2
Total Karen Hugg;;2
Karen Jaimes;the big story;1
Total Karen Jaimes;;1
Karen Krizanovich;culture;1
Total Karen Krizanovich;;1
Karen Leibowitz;science;1
Total Karen Leibowitz;;1
Karen Levy;ideas;1
Total Karen Levy;;1
Karen Lurie;science;1
Total Karen Lurie;;1
Karen McVeigh;science;1
Total Karen McVeigh;;1
Karen Naundorf;security;1
Total Karen Naundorf;;1
Karen Solomon;science;2
Karen Solomon;(vide);2
Total Karen Solomon;;4
Karen Southwick;(vide);2
Total Karen Southwick;;2
Karen Weingarten;ideas;1
Total Karen Weingarten;;1
Karen Wickre;the big story;18
Total Karen Wickre;;18
Kari Byron;(vide);3
Total Kari Byron;;3
Kari Lynn Dean;culture;5
Kari Lynn Dean;science;10
Kari Lynn Dean;security;1
Total Kari Lynn Dean;;16
Kari McMahon;business;1
Total Kari McMahon;;1
Kari Paul;science;1
Total Kari Paul;;1
Karissa Bell;culture;1
Karissa Bell;gear;14
Karissa Bell;science;1
Total Karissa Bell;;16
Karl Lokko;ideas;1
Total Karl Lokko;;1
Karl Taro Greenfeld;(vide);1
Total Karl Taro Greenfeld;;1
Karl Tomusk;business;1
Karl Tomusk;culture;1
Total Karl Tomusk;;2
Karlin Lillington;business;22
Karlin Lillington;culture;9
Karlin Lillington;gear;3
Karlin Lillington;science;13
Karlin Lillington;security;9
Total Karlin Lillington;;56
Karmela Padavic-Callaghan;science;5
Total Karmela Padavic-Callaghan;;5
Karn Bianco;culture;1
Total Karn Bianco;;1
Karsten Lemm;business;13
Karsten Lemm;culture;2
Total Karsten Lemm;;15
Kartik Hosanagar;business;1
Kartik Hosanagar;opinion;1
Kartik Hosanagar;the big story;1
Total Kartik Hosanagar;;3
Kashmir Hill;ideas;1
Total Kashmir Hill;;1
Kasra Zarei;science;3
Total Kasra Zarei;;3
Kassia St Clair;the big story;1
Total Kassia St Clair;;1
Kat Arney;business;1
Total Kat Arney;;1
Kat Friedrich, Ars Technica;science;1
Total Kat Friedrich, Ars Technica;;1
Kat Hannaford;business;1
Kat Hannaford;security;1
Total Kat Hannaford;;2
Kat Kane;business;2
Total Kat Kane;;2
Kat Mahoney;(vide);1
Total Kat Mahoney;;1
Kat McGowan;science;3
Total Kat McGowan;;3
Kat Wade;culture;3
Total Kat Wade;;3
Katarina Zimmer;science;1
Total Katarina Zimmer;;1
Kate Bevan;science;1
Total Kate Bevan;;1
Kate Buckholz;business;1
Total Kate Buckholz;;1
Kate Clancy;ideas;1
Total Kate Clancy;;1
Kate Connolloy;science;1
Total Kate Connolloy;;1
Kate Cox, Ars Technica;gear;1
Kate Cox, Ars Technica;science;1
Total Kate Cox, Ars Technica;;2
Kate Darling;the big story;1
Total Kate Darling;;1
Kate Farnady;business;33
Kate Farnady;culture;3
Kate Farnady;science;2
Total Kate Farnady;;38
Kate Greene;science;2
Total Kate Greene;;2
Kate Knibbs;artificial intelligence;
Kate Knibbs;business;20
Kate Knibbs;culture;96
Kate Knibbs;gear;1
Kate Knibbs;ideas;1
Kate Knibbs;movies;1
Kate Knibbs;politics;1
Kate Knibbs;science;8
Kate Knibbs;the big story;3
Total Kate Knibbs;;131
Kate Krauss;opinion;1
Total Kate Krauss;;1
Kate Lloyd;science;2
Total Kate Lloyd;;2
Kate Miller;(vide);18
Total Kate Miller;;18
Kate O'Flaherty;business;3
Kate O'Flaherty;science;1
Kate O'Flaherty;security;31
Total Kate O'Flaherty;;35
Kate O'Neill;security;1
Total Kate O'Neill;;1
Kate Raworth;business;1
Total Kate Raworth;;1
Kate S. Petersen;science;1
Total Kate S. Petersen;;1
Kate Sheppard;business;1
Total Kate Sheppard;;1
Kate Solomon;business;1
Kate Solomon;culture;2
Kate Solomon;science;1
Total Kate Solomon;;4
Kate Yandell;science;1
Total Kate Yandell;;1
Kate Yoder;science;12
Total Kate Yoder;;12
Katelyn Burns;science;1
Total Katelyn Burns;;1
Katerina Cizek;ideas;1
Total Katerina Cizek;;1
Katharina Kropshofer;business;1
Total Katharina Kropshofer;;1
Katharina Sophia Volz;science;1
Total Katharina Sophia Volz;;1
Katharine Gammon;business;1
Katharine Gammon;culture;4
Katharine Gammon;gear;2
Katharine Gammon;science;5
Katharine Gammon;(vide);7
Total Katharine Gammon;;19
Katharine Hayhoe;science;1
Total Katharine Hayhoe;;1
Katherine Alejandra Cross;culture;1
Katherine Alejandra Cross;ideas;18
Total Katherine Alejandra Cross;;19
Katherine Bailey;the big story;1
Total Katherine Bailey;;1
Katherine Brodsky;culture;1
Total Katherine Brodsky;;1
Katherine Eban;science;1
Total Katherine Eban;;1
Katherine Ellison;science;1
Total Katherine Ellison;;1
Katherine Harmon Courage;gear;1
Katherine Harmon Courage;science;2
Total Katherine Harmon Courage;;3
Katherine Isbister;culture;1
Total Katherine Isbister;;1
Katherine Kornei;gear;3
Katherine Kornei;science;1
Total Katherine Kornei;;4
Katherine Laidlaw;business;1
Katherine Laidlaw;the big story;1
Total Katherine Laidlaw;;2
Katherine Maher;ideas;1
Total Katherine Maher;;1
Katherine Sharpe;design;9
Total Katherine Sharpe;;9
Katherine Sierra;opinion;1
Total Katherine Sierra;;1
Katherine Tweed;business;2
Total Katherine Tweed;;2
Kathleen Craig;culture;5
Kathleen Craig;science;2
Kathleen Craig;security;1
Total Kathleen Craig;;8
Kathleen Creighton;(vide);3
Total Kathleen Creighton;;3
Kathleen Richardson;business;1
Total Kathleen Richardson;;1
Kathleen Vignos;business;2
Total Kathleen Vignos;;2
Kathleen Wiegner;(vide);1
Total Kathleen Wiegner;;1
Kathryn Hymes;ideas;1
Total Kathryn Hymes;;1
Kathryn Joyce;business;1
Total Kathryn Joyce;;1
Kathryn Mills;science;1
Total Kathryn Mills;;1
Kathryn Minshew;the big story;1
Total Kathryn Minshew;;1
Kathryn Nave;business;81
Kathryn Nave;culture;25
Kathryn Nave;gear;37
Kathryn Nave;science;25
Kathryn Nave;the big story;3
Total Kathryn Nave;;171
KATHRYN PETRALIA;business;1
Total KATHRYN PETRALIA;;1
Kathy Ceceri;business;1
Kathy Ceceri;culture;1
Kathy Ceceri;gear;2
Kathy Ceceri;science;1
Kathy Ceceri;(vide);231
Total Kathy Ceceri;;236
Kathy Kennedy;culture;2
Total Kathy Kennedy;;2
Kathy Sierra;opinion;1
Total Kathy Sierra;;1
Katia Moskvitch;business;62
Katia Moskvitch;culture;6
Katia Moskvitch;gear;9
Katia Moskvitch;ideas;1
Katia Moskvitch;science;26
Katia Moskvitch;security;1
Katia Moskvitch;the big story;1
Total Katia Moskvitch;;106
Katie Arnold-Ratliff;science;1
Total Katie Arnold-Ratliff;;1
Katie Baker;(vide);1
Total Katie Baker;;1
Katie Collins;business;353
Katie Collins;culture;61
Katie Collins;gear;42
Katie Collins;science;80
Katie Collins;security;19
Total Katie Collins;;555
Katie Day Good;culture;1
Katie Day Good;gear;1
Total Katie Day Good;;2
Katie Dean;business;38
Katie Dean;culture;287
Katie Dean;gear;15
Katie Dean;science;21
Katie Dean;security;34
Total Katie Dean;;395
Katie Drummond;politics;2
Katie Drummond;security;141
Total Katie Drummond;;143
Katie Drummond and Noah Shachtman;security;2
Total Katie Drummond and Noah Shachtman;;2
Katie Hafner;the big story;3
Katie Hafner;(vide);2
Total Katie Hafner;;5
Katie Jacobs Stanton;business;1
Total Katie Jacobs Stanton;;1
Katie Kitamura;business;1
Total Katie Kitamura;;1
Katie M Palmer;business;2
Katie M Palmer;culture;3
Katie M Palmer;design;2
Katie M Palmer;gear;3
Katie M Palmer;opinion;1
Katie M Palmer;photo;2
Katie M Palmer;science;99
Katie M Palmer;(vide);1
Total Katie M Palmer;;113
Katie Manning;security;1
Total Katie Manning;;1
Katie McCormick;science;3
Total Katie McCormick;;3
Katie Moussouris;opinion;1
Total Katie Moussouris;;1
Katie Orenstein;the big story;1
Total Katie Orenstein;;1
Katie Scott;business;14
Katie Scott;culture;7
Katie Scott;gear;2
Katie Scott;science;6
Katie Scott;security;2
Total Katie Scott;;31
Katie Worth;the big story;1
Total Katie Worth;;1
Katja Grubitzsch;(vide);2
Total Katja Grubitzsch;;2
Katrina Heron;(vide);3
Total Katrina Heron;;3
Katrina Holden;(vide);3
Total Katrina Holden;;3
Katrina Karkazis;science;1
Total Katrina Karkazis;;1
Katrina Miller;culture;1
Katrina Miller;science;18
Katrina Miller;the big story;1
Total Katrina Miller;;20
Katy Clough;science;1
Total Katy Clough;;1
Katy Ilonka Gero;ideas;1
Total Katy Ilonka Gero;;1
Katy Lee;science;1
Total Katy Lee;;1
Katy Milkman;ideas;1
Total Katy Milkman;;1
Katy Reckdahl;culture;1
Total Katy Reckdahl;;1
Kaveh Waddell;transportation;1
Total Kaveh Waddell;;1
Kavita Das;culture;1
Total Kavita Das;;1
Kay Moore;(vide);6
Total Kay Moore;;6
Kay T. Holt;culture;2
Kay T. Holt;(vide);38
Total Kay T. Holt;;40
Kayla LaCour;business;1
Kayla LaCour;culture;1
Kayla LaCour;gear;1
Kayla LaCour;science;1
Total Kayla LaCour;;4
Kaylee Williams;ideas;1
Total Kaylee Williams;;1
KC Cole;ideas;11
Total KC Cole;;11
Kea Krause;ideas;1
Total Kea Krause;;1
Keay Davidson;science;1
Total Keay Davidson;;1
Keith Axline;business;3
Keith Axline;culture;25
Keith Axline;gear;2
Keith Axline;photo;13
Keith Axline;science;2
Keith Axline;(vide);1
Total Keith Axline;;46
Keith Barry;culture;6
Keith Barry;gear;546
Keith Barry;security;1
Keith Barry;(vide);9
Total Keith Barry;;562
Keith Buglewicz;gear;1
Total Keith Buglewicz;;1
Keith Gillogly;science;4
Total Keith Gillogly;;4
Keith Kloor;ideas;2
Total Keith Kloor;;2
Keith Law;the big story;1
Total Keith Law;;1
Keith Porcaro;ideas;3
Total Keith Porcaro;;3
Keith Veronese;gear;2
Keith Veronese;science;1
Total Keith Veronese;;3
Keith W Strandberg;gear;4
Total Keith W Strandberg;;4
Kelley Zerga;culture;1
Kelley Zerga;gear;1
Kelley Zerga;(vide);1
Total Kelley Zerga;;3
Kelli Fox;culture;2
Total Kelli Fox;;2
Kelli Rubin;culture;1
Total Kelli Rubin;;1
Kelly Clancy;business;1
Kelly Clancy;science;1
Total Kelly Clancy;;2
Kelly Fiveash;business;3
Kelly Fiveash;security;1
Total Kelly Fiveash;;4
Kelly Grovier;opinion;1
Kelly Grovier;the big story;1
Total Kelly Grovier;;2
Kelly Kessler;ideas;1
Total Kelly Kessler;;1
Kelly Knox;books;1
Kelly Knox;(vide);57
Total Kelly Knox;;58
Kelly Lambert;science;1
Total Kelly Lambert;;1
Kelly Martinez;ideas;1
Total Kelly Martinez;;1
Kelly McEvers;culture;1
Kelly McEvers;the big story;1
Total Kelly McEvers;;2
Kelly Servick;science;4
Total Kelly Servick;;4
Kelly Sullivan Walden;science;1
Total Kelly Sullivan Walden;;1
Kelsey Hazlewood;business;1
Kelsey Hazlewood;(vide);1
Total Kelsey Hazlewood;;2
Kelsey Houston-Edwards;science;2
Total Kelsey Houston-Edwards;;2
Kelsey Lannin;photo;1
Total Kelsey Lannin;;1
Kelsey OCallaghan;design;1
Total Kelsey OCallaghan;;1
Kelsey Osgood;culture;1
Kelsey Osgood;ideas;2
Total Kelsey Osgood;;3
Kelsey Snyder;culture;1
Total Kelsey Snyder;;1
Ken Armstrong;security;1
Total Ken Armstrong;;1
Ken Coupland;(vide);13
Total Ken Coupland;;13
Ken Denmead;(vide);315
Total Ken Denmead;;315
Ken Doctor;opinion;1
Total Ken Doctor;;1
Ken Gordon;(vide);1
Total Ken Gordon;;1
Ken Gude;opinion;1
Total Ken Gude;;1
Ken Kessler;culture;1
Total Ken Kessler;;1
Ken Kocienda;gear;1
Total Ken Kocienda;;1
Ken Kurson;(vide);2
Total Ken Kurson;;2
Ken Liu;culture;1
Total Ken Liu;;1
Ken Montenegro;security;1
Total Ken Montenegro;;1
Ken Robinson;business;1
Total Ken Robinson;;1
Ken Segall;business;1
Total Ken Segall;;1
Ken Taylor;(vide);1
Total Ken Taylor;;1
Kendall Hoyt;opinion;1
Total Kendall Hoyt;;1
Kendra Mayfield;business;21
Kendra Mayfield;culture;81
Kendra Mayfield;gear;1
Kendra Mayfield;science;27
Kendra Mayfield;security;14
Total Kendra Mayfield;;144
Kendra Vaculin;the big story;1
Total Kendra Vaculin;;1
Kenji Morrow;science;1
Kenji Morrow;(vide);2
Total Kenji Morrow;;3
Kennedy Grey;business;1
Kennedy Grey;science;3
Kennedy Grey;(vide);1
Total Kennedy Grey;;5
Kenneth Jeyaretnam;opinion;1
Total Kenneth Jeyaretnam;;1
Kenneth Newby;culture;4
Total Kenneth Newby;;4
Kenneth Payne;security;1
Total Kenneth Payne;;1
Kenneth R. Rosen;gear;2
Kenneth R. Rosen;the big story;10
Total Kenneth R. Rosen;;12
Kent Walker;opinion;1
Total Kent Walker;;1
Keoni Littlemouse;(vide);1
Total Keoni Littlemouse;;1
Keren Elazari;business;3
Keren Elazari;security;1
Total Keren Elazari;;4
Keren Landman;science;1
Total Keren Landman;;1
Kerrie Mitchell;(vide);2
Total Kerrie Mitchell;;2
Kersti Kaljulaid;business;1
Total Kersti Kaljulaid;;1
Kerstin Sjoden;business;1
Kerstin Sjoden;security;1
Kerstin Sjoden;(vide);1
Total Kerstin Sjoden;;3
Kes Thygesen;business;1
Total Kes Thygesen;;1
Kevin Ashton;business;1
Total Kevin Ashton;;1
Kevin Braddock;business;2
Kevin Braddock;gear;3
Total Kevin Braddock;;5
Kevin Burke;(vide);1
Total Kevin Burke;;1
Kevin Carey;science;1
Total Kevin Carey;;1
Kevin Cecil;(vide);2
Total Kevin Cecil;;2
Kevin Chou;opinion;1
Total Kevin Chou;;1
Kevin Driscoll;ideas;1
Total Kevin Driscoll;;1
Kevin Fong;opinion;1
Total Kevin Fong;;1
Kevin Fullerton;business;2
Total Kevin Fullerton;;2
Kevin Gray;business;2
Kevin Gray;science;2
Kevin Gray;the big story;1
Total Kevin Gray;;5
Kevin Guyan;ideas;1
Total Kevin Guyan;;1
Kevin Hartnett;science;35
Total Kevin Hartnett;;35
Kevin Hartz;opinion;1
Total Kevin Hartz;;1
Kevin Hogan;(vide);3
Total Kevin Hogan;;3
Kevin Holden;gear;1
Kevin Holden;science;1
Total Kevin Holden;;2
Kevin Holmes;business;2
Kevin Holmes;culture;1
Total Kevin Holmes;;3
Kevin J. Montgomery;gear;1
Total Kevin J. Montgomery;;1
Kevin Kelleher;business;9
Kevin Kelleher;security;1
Kevin Kelleher;(vide);9
Total Kevin Kelleher;;19
Kevin Kelly;business;10
Kevin Kelly;culture;1
Kevin Kelly;gear;2
Kevin Kelly;ideas;1
Kevin Kelly;opinion;1
Kevin Kelly;science;1
Kevin Kelly;the big story;4
Kevin Kelly;(vide);84
Total Kevin Kelly;;104
Kevin Kelly with Steven Levy;(vide);1
Total Kevin Kelly with Steven Levy;;1
Kevin Makice;(vide);47
Total Kevin Makice;;47
Kevin Maney;business;2
Kevin Maney;culture;1
Kevin Maney;the big story;1
Kevin Maney;(vide);1
Total Kevin Maney;;5
Kevin Marks;the big story;1
Total Kevin Marks;;1
Kevin McFarland;culture;396
Total Kevin McFarland;;396
Kevin Miller;(vide);1
Total Kevin Miller;;1
Kevin Mitnick;security;1
Total Kevin Mitnick;;1
Kevin Montgomery;culture;1
Kevin Montgomery;gear;2
Total Kevin Montgomery;;3
Kevin Morris;opinion;1
Total Kevin Morris;;1
Kevin Pelphrey;opinion;1
Total Kevin Pelphrey;;1
Kevin Pereira;(vide);1
Total Kevin Pereira;;1
Kevin Perlmutter;gear;1
Total Kevin Perlmutter;;1
Kevin Pocock;culture;1
Total Kevin Pocock;;1
Kevin Poulsen;business;17
Kevin Poulsen;culture;8
Kevin Poulsen;gear;3
Kevin Poulsen;science;11
Kevin Poulsen;security;296
Kevin Poulsen;the big story;2
Kevin Poulsen;(vide);3
Total Kevin Poulsen;;340
Kevin Purdy, Ars Technica;gear;1
Total Kevin Purdy, Ars Technica;;1
Kevin Randall;business;1
Total Kevin Randall;;1
Kevin Scott;ideas;2
Total Kevin Scott;;2
Kevin Seal;(vide);1
Total Kevin Seal;;1
Kevin Sites;business;1
Total Kevin Sites;;1
Kevin Werbach;business;1
Kevin Werbach;the big story;1
Kevin Werbach;(vide);1
Total Kevin Werbach;;3
Kevin Yoder;opinion;1
Total Kevin Yoder;;1
Khadija Sharife;business;1
Total Khadija Sharife;;1
Khaliya;science;1
Total Khaliya;;1
Khan Shoieb;the big story;1
Total Khan Shoieb;;1
Khari Johnson;business;66
Khari Johnson;culture;1
Khari Johnson;science;2
Total Khari Johnson;;69
Kiera Butler;science;1
Total Kiera Butler;;1
Kieran Alger;business;2
Kieran Alger;gear;12
Total Kieran Alger;;14
Kieran O'Neill;security;1
Total Kieran O'Neill;;1
Kieron Gillen;culture;2
Total Kieron Gillen;;2
Kieron O'Hara;business;1
Total Kieron O'Hara;;1
Kif Leswing;business;1
Kif Leswing;culture;7
Kif Leswing;gear;51
Total Kif Leswing;;59
Kiki Mordi;business;1
Kiki Mordi;security;1
Total Kiki Mordi;;2
Kiliii Yüyan;the big story;1
Total Kiliii Yüyan;;1
Kim Eastham;(vide);1
Total Kim Eastham;;1
Kim Griggs;business;2
Kim Griggs;culture;20
Kim Griggs;gear;3
Kim Griggs;science;15
Kim Griggs;security;21
Total Kim Griggs;;61
Kim Haggin Rossi;culture;1
Total Kim Haggin Rossi;;1
Kim Krieger;science;1
Total Kim Krieger;;1
Kim O'Connor;design;1
Total Kim O'Connor;;1
Kim Zetter;business;88
Kim Zetter;culture;10
Kim Zetter;photo;1
Kim Zetter;science;13
Kim Zetter;security;1149
Kim Zetter;the big story;1
Kim Zetter;(vide);4
Total Kim Zetter;;1266
Kim Zetter and Kevin Poulsen;security;11
Total Kim Zetter and Kevin Poulsen;;11
Kimbal Musk;the big story;1
Total Kimbal Musk;;1
Kimberley Bond;culture;1
Total Kimberley Bond;;1
Kimberly Hiss;culture;1
Total Kimberly Hiss;;1
Kimberly Rex;culture;1
Total Kimberly Rex;;1
Kimi Eastham;(vide);1
Total Kimi Eastham;;1
Kimiko Eastham;(vide);1
Total Kimiko Eastham;;1
Kiona N. Smith, Ars Technica;science;8
