Identifiant;Titre;Description;Domaine;Sous-domaine;Type de producteur;Direction;Service;Sous-direction / département;Boîte fonctionnelle;Précision domaine;Mots-clés;Données géolocalisées;Lien1;Lien2;Fréquence de mise à jour;Volumétrie;Type de format;Autres formats;Couverture géographique1;Couverture géographique2;Statut ouverture;Date de mise à jour;Actif / Inactif;Couverture géographique;Perspectives de diffusion
CAT-0379;Exploitation cinématographique (1999-2019) en Centre-Val de Loire;Cette base régionale issue de la base nationale réalisée annuellement par le Centre national de la cinématographie et de l’image animée (CNC) fournit une information très riche sur l’activité des cinémas : nombre d’écrans, de places, fréquentation, recettes, nombre de séances, classement art et essai, nombre et nationalité des films difusés...;Audiovisuel;Film et cinéma;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;fréquentation;;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable partiellement
CAT-0093;Baromètre du marché de la vidéo physique;Baromètre trimestriel du marché de la vidéo physique : ventes en volume et en valeur selon le support et le type de programmes;Audiovisuel;Vidéo;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/cinema/etudes-et-rapports/statistiques/barometre-video;En continu;;;pdf;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0111;Fonds photographiques de la Médiathèque (Base Mémoire);"La base Mémoire présente les notices de photographies conservées par les services centraux et déconcentrés du ministère de Culture  : 
- Médiathèque de l'architecture et du patrimoine (1,2 millions de photographies)
- Conservations régionales des Monuments historiques
- Conservation des Antiquités et des Objets d'art
- Unités départementales de l'architecture et du patrimoine
- Services régionaux de l'Inventaire";Pluridisciplinaire;;Service à compétence nationale;Médiathèque de l’architecture et du patrimoine;;Département de la Photographie;mediatheque.patrimoine@culture.gouv.fr;Patrimoine;"photographie ;  objet";;https://data.culture.gouv.fr/explore/dataset/photographies-serie-monuments-historiques-de-1851-a-1914/;https://www.pop.culture.gouv.fr/;En continu;1,2 millions de notices photographies;;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0172;Référentiels d'indexation des archives des lieux de Paris;"Les référentiels des lieux de Paris sont au nombre de 7 : arrondissements actuels, arrondissement anciens, communes rattachées, édifices, paroisses, quartiers, voies.
Ils peuvent être téléchargés individuellement sur data.culture.gouv.fr (libellés indiqués dans la colonne ""Les différents thésaurus disponibles"" du tableau des vocabulaires du ministère de la Culture).";Archives;;Service à compétence nationale;Archives nationales;;Direction du numérique et de la conservation / Département de l'administration des données;data-snum@culture.gouv.fr;;référentiel;;https://data.culture.gouv.fr/explore/dataset/les-vocabulaires-du-ministere-de-la-culture/table/?refine.producteur=Archives+nationales&sort=-les_differents_thesaurus_disponibles;https://www.siv.archives-nationales.culture.gouv.fr/siv/;Aucune;14949 notices dans 7 fichiers XML, 1 par type de lieux de Paris;XML;;Ile-de-France;;Non ouvert;2023-06-07;Actif;Ile-de-France;Ouvrable
CAT-0373;Liste des édifices Architecture contemporaine remarquable (2013-2020) de Centre-Val de Loire;Liste des édifices bénéficiaires du label : nom de l’édifice, adresse, période de construction, nom de l’architecte, type d’architecture, date de labellisation;Architecture;;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;"architecture contemporaine remarquable (ACR) ; label et appellation ; lieu culturel";;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0381;Circuits cinématographique itinérants (2013-2020) en Centre-Val de Loire;Liste des communes desservies par les circuits de cinéma itinérants par les cinq circuits actifs en région Centre-Val de Loire;Audiovisuel;Film et cinéma;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;;;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0435;Résidences de création en Bourgogne Franche-Comté;Lieux de résidence pour le Spectacle vivant (SV);Audiovisuel;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;spectacle vivant;;;;;En continu;100 Ko;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0476;Notices et photographies documentant les biens culturels maritimes;Outil numérique de gestion des Biens Culturels Maritimes (base Ishtar);Patrimoine;Archéologie;Service à compétence nationale;Département des recherches archéologiques subaquatiques et sous-marines (DRASSM);;;le-drassm@culture.gouv.fr;Archéologie maritime;"mobilier archéologique ; opération archéologique ;  site archéologique ; image ; statistiques";;;https://ishtar.drassm.fr/;En continu;;XML;"html ; csv ; jpg ; calc ; odt";France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0487;Arrêtés de création de sites patrimoniaux remarquables  en Auvergne-Rhône-Alpes;Version numérique des arrêtés ou décisions de création de sites patrimoniaux remarquables (SPR);Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Auvergne-Rhône-Alpes;;;data-snum@culture.gouv.fr;Arrêtés de SPR (Sites patrimoniaux remarquables);site patrimonial remarquable (SPR);;;;En continu;Tous arrêtés confondus plus de 10 Go;;pdf, tif, jpg;Auvergne-Rhône-Alpes;;Non ouvert;2021-11-15;Actif;Auvergne-Rhône-Alpes;Ouvrable
CAT-0178;Titulaires de la légion d'honneur décédés avant 1970;Base décrivant les dossiers des titulaires de la Légion d'honneur décédés avant 1970 et donnant accès aux dossiers numérisés;Archives;;Service à compétence nationale;Archives nationales;;Direction du numérique et de la conservation;data-snum@culture.gouv.fr;;;;;https://www.leonore.archives-nationales.culture.gouv.fr/ui/;En continu;380 000 notices;CSV;;France entière;Monde;Non ouvert;2021-11-15;Actif;France entière,Monde;Ouvrable partiellement
CAT-0182;Zones de présomption de prescription archéologique de Bretagne;Carte des zones de présomption de prescription archéologique géoréférencées et liés à l'arrêté et à un listing en PDF;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Bretagne;;Service de l'archéologie;data-snum@culture.gouv.fr;Urbanisme;"aménagement du territoire ; géoréférencement";Oui;;"https://geobretagne.fr/mapfishapp/ ; http://atlas.patrimoines.culture.fr/atlas/";En continu;;CSV;ESRI Shapefile;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;Ouvrable
CAT-0327;Liste des personnes et familles citées dans les inventaires en ligne (cette base inclus la base Bagnards);Base nominative, donnant la liste des personnes cités dans les inventaires en ligne (IREL) et renvoyant aux inventaires en question. N.B. : la base bagnard est incluse dans cette base;Archives;;Service à compétence nationale;Archives nationales d’Outre-Mer;;;data-snum@culture.gouv.fr;;;;;http://anom.archivesnationales.culture.gouv.fr/nominatif/;En continu;121105 enregistrements;CSV;sql;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0357;Bilan des prêts d'objets mobiliers protégés au titre des monuments historiques en France et à l'étranger;Tableaux/graphique pour édition du bilan des prêts d'objets mobiliers classés ou inscrits au titre des monuments historiques en France et à l'étranger;Patrimoine;Monuments;Administration centrale;Direction générale des patrimoines et de l'architecture;Service du patrimoine;sous-direction des monuments historiques et des sites patrimoniaux;data-snum@culture.gouv.fr;Objets mobiliers;"monument historique (MH) ; objet mobilier";;;;En continu;;XLS;;France entière;Monde;Non ouvert;2021-11-15;Actif;France entière,Monde;Ouvrable
CAT-0428;Aides Centre national de la musique (CNM) en Bourgogne Franche-Comté;Aides Centre national de la musique (CNM) - Fonds exceptionnel;Spectacle vivant;Musique;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;;;;;En continu;13 Ko;ODS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0454;Catalogue informatisé des fonds documentaires - DRAC Bourgogne Franche-Comté;Base de données bibliographiques;Bibliothèques;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Service Information-documentation;data-snum@culture.gouv.fr;;"documentation ; bibliographie";;;https://pmb.culture.fr/?culture.fr;En continu;18 Mo (+ 6 Mo SRA);;.dat (bdd Cindoc, transfert PMB automne 2021);Bourgogne-Franche-Comté;France entière;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté,France entière;Ouvrable
CAT-0518;Fonds iconographiques de la DRAC Provence-Alpes-Côte d'Azur;L'ensemble des fonds numériques et argentiques des différents services (monuments historiques, archéologie, architecture);Patrimoine;;Direction régionale des affaires culturelles;DRAC Provence-Alpes-Côte d'Azur;;;data-snum@culture.gouv.fr;Monuments historiques protégés ou non protégés, archéologie, et un peu d'architecture;;;;https://culture.eligis-web.com;En continu;"MH = 2,4 To
SRA =  500 Go
ARCHITECTURE = 2Go";;tif, jpg;Provence-Alpes-Côte d’Azur;;Non ouvert;2021-11-15;Actif;Provence-Alpes-Côte d’Azur;Ouvrable partiellement
CAT-0565;Avis Architecte des Bâtiments de France (ABF) - DAC La Réunion;Documents préparatoires à un acte du droit des sols;Patrimoine;Monuments;Direction régionale des affaires culturelles;DAC La Réunion;;;udap.daclareunion@culture.gouv.fr;;;;;;En continu;;TXT;pdf;La Réunion;Mayotte;Non ouvert;2021-11-15;Actif;La Réunion,Mayotte;Ouvrable
CAT-0722;Liste des festivals en France;"Sont considérés comme festivals les événements qui répondent aux critères suivants :
- avoir eu lieu en 2019
- avoir connu au moins deux éditions en 2019
-  se dérouler sur plus d’une journée
-  compter au moins 5 spectacles, représentations, concerts ou projections.
Le choix a été fait de retenir l’année 2019 qui devient, dans le champ culturel, l’année-repère ante pandémie.
Source : Cartographie nationale, Ministère de la Culture, Deps-doc / Cepel / France festivals, 2022";Pluridisciplinaire;;Administration centrale;Secrétariat Général;Département des études, de la prospective, des statistiques et de la documentation;;;;"festival ; lieu culturel";;https://data.culture.gouv.fr/explore/dataset/festivals-global-festivals-_-pl;;quinquennale;7 282 enregistrements;XLSX;;France entière;;Ouvert;2022-07-15;Actif;France entière;Ouvrable
CAT-0248;Liste des lieux labellisés Centres dramatiques nationaux (CDN);Liste des Centres dramatiques nationaux (CDN), répartition territoriale, noms et contacts des dirigeants, informations administratives et financières;Spectacle vivant;;Administration centrale;Direction générale de la création artistique;Délégation au théâtre et aux arts associés;;data-snum@culture.gouv.fr;;;;;;NSP;;XLS;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0557;Plastiques SamCo (sample collection);Matériaux plastiques : références, objets analysés, standards chimiques, standards industriels;Patrimoine;Musées;Service à compétence nationale;Centre de recherche et de restauration des musées de France (C2RMF);;Département de la Restauration;data-snum@culture.gouv.fr;Art contemporain;;;;;En continu;Environ 250 références;XLS;;Monde;;Non ouvert;2021-11-15;Actif;Monde;Ouvrable
CAT-0601;Mobiliers (objets) archéologiques conservés dans les Centres de conservation et d'étude archéologique de Nouvelle Aquitaine;Base de données sur les mobiliers (objets) archéologiques conservés dans les Centres de conservation et d'étude archéologique (CCE);Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;;;;;En continu;;XLS;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0731;Itinéraires culturels du Conseil de l’Europe;Lancés par le Conseil de l’Europe en 1987, les Itinéraires Culturels démontrent, à travers le voyage dans le temps et l’espace, que le patrimoine de différents pays d’Europe contribue au patrimoine culturel commun.;;;Administration centrale;Direction générale des patrimoines et de l'architecture;Mission patrimoine mondial;;;;"label et appellation ; lieu culturel";Oui;https://data.culture.gouv.fr/explore/dataset/itineraires-culturels-du-conseil-de-l-europe/;;;;XLSX;;France métropolitaine;;Ouvert;2023-02-15;Actif;France métropolitaine;Ouvrable
CAT-0117;Archives papier de la DRAC Normandie;Inventaires des archives intermédiaires produites par la DRAC Normandie;Archives;;Direction régionale des affaires culturelles;DRAC Normandie;;Secrétariat général;data-snum@culture.gouv.fr;;;;;;Mensuelle;73 Mo;XLS;;Normandie;;Non ouvert;2021-11-15;Actif;Normandie;Ouvrable partiellement
CAT-0168;Référentiel d'indexation des statuts juridiques des organismes producteurs des archives;Référentiel permettant d'indexer les statuts juridiques des organismes producteurs des archives conservées aux Archives Nationales (AN);Archives;;Service à compétence nationale;Archives nationales;;Direction du numérique et de la conservation / Département de l'administration des données;data-snum@culture.gouv.fr;;référentiel;;http://data.culture.fr/entrepot/ARCHIVESNATIONALES/FRAN_RI_104_StatutsJuridiques.csv;;En continu;63 notices dans un fichier XML unique;XML;;France entière;;Non ouvert;2023-06-07;Actif;France entière;Ouvrable
CAT-0389;Patrimoine mondial de l’Unesco en Centre-Val de Loire;La région Centre-Val de Loire compte trois édifices religieux inscrits sur la liste du patrimoine mondial ainsi que le paysage culturel exceptionnel le long du fleuve Loire qui traverse trois départements de la région.;Patrimoine;;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;"patrimoine mondial de l'UNESCO ; lieu culturel";;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0395;Inventaire des biens archéologiques mobiliers de Centre-Val de Loire;Base de données (BAMARCH) des biens archéologiques mobiliers conservés au centre de conservation et d’étude de Saint-Jean-de-la-Ruelle;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;objet mobilier;;;;NSP;48000 enregistrements;JSON;csv;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable partiellement
CAT-0444;Appel à projet et dispositifs : éducation artistique et culturelle (EAC) en Bourgogne Franche-Comté;Dispositifs & Appel à projet - Education artistique et culturelle (EAC);Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;éducation artistique et culturelle;"éducation artistique et culturelle (EAC) ; appel à projet (AAP)";;;;Annuelle;1 Mo;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0527;Base photographies des fonds archéologiques - Service régional de l'archéologie du site Amiens;Inventaire des diapositiives numérisées issues des fonds archéologiques conservés sur le site d'Amiens;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Hauts-de-France;;Service régional de l'archéologie;data-snum@culture.gouv.fr;;"opération archéologique ; photographie";;;;En continu;60177 notices;;;Hauts-de-France;;Non ouvert;2021-11-15;Actif;Hauts-de-France;Ouvrable partiellement
CAT-0536;Base des lieux en Hauts-de-France;Liste des sites et structures patrimoniales ouverts au public avec localisation;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Hauts-de-France;;Transverse;demarches.actionculturelle.drac.hdf@culture.gouv.fr;"Bibliothèque ; Musées ; Monuments ; Archéologie";lieu culturel;;;;En continu;2037 lignes;XLS;;Hauts-de-France;;Non ouvert;2021-11-15;Actif;Hauts-de-France;Ouvrable
CAT-0540;Photographies des  œuvres des musées de France venues au Centre de recherche et de restauration des musées de France pour analyse ou restauration;Notices descriptives de l'imagerie scientifique et documentaire produite dans le cadre de l'étude ou de la restauration d'œuvres venues au Centre de recherche et de restauration des musées de France entre 1931 et aujourd'hui (lumière visible, infrarouge, ultraviolets, radiographie, suivi des étapes de restauration…);Patrimoine;Musées;Service à compétence nationale;Centre de recherche et de restauration des musées de France (C2RMF);;Filière Archives et Documentation;rv-doc.paris-c2rmf@culture.gouv.fr;;photographie;;https://data.culture.gouv.fr/explore/dataset/images-d-oeuvres-du-c2rmf/;;En continu;Environ 420 000 notices descriptives;CSV;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0541;Échantillons prélevés sur les œuvres des musées de France venues au Centre de recherche et de restauration des musées de France pour analyse ou restauration;Notices descriptives des échantillons prélevés sur les œuvres venues au Centre de recherche et de restauration des musées de France (C2RMF) pour analyse;Patrimoine;Musées;Service à compétence nationale;Centre de recherche et de restauration des musées de France (C2RMF);;Filière Archives et Documentation;rv-doc.paris-c2rmf@culture.gouv.fr;;;;;;En continu;Environ 1 500 échantillons référencés;CSV;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0576;Catalogue bibliographique des publications disponibles au centre de documentation de la DRAC Grand Est;Bibliothèque de la Direction régionale des affaires culturelles Grand Est;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Grand-Est;;;data-snum@culture.gouv.fr;;"documentation ; bibliographie";;;https://pmb.culture.fr;En continu;;;;Grand Est;;Non ouvert;2021-11-15;Actif;Grand Est;Ouvrable
CAT-0639;Données de l'Observatoire de la lecture publique;Rapports d'activités des bibliothèques territoriales (municipales, intercommunales et départementales) : les fichiers Excel contiennent à la fois les rapports d'activités et les données structurantes concernant les lieux de lecture et les unités de coordination;Bibliothèques;;Administration centrale;Direction générale des médias et des industries culturelles;Service du livre et de la lecture;Bureau de la lecture publique / Observatoire de la lecture publique;data-snum@culture.gouv.fr;;statistiques;;https://data.culture.gouv.fr/explore/dataset/adresses-des-bibliotheques-publiques;;Annuelle;;XLS;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0666;Dossier de protection Monuments historiques de Nouvelle-Aquitaine;Dossier de base de recensement Conservation régionale des monuments historiques (CRMH) - site de Poitiers;Patrimoine;;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;monument historique (MH);;;;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable partiellement
CAT-0674;Nombre d'animations proposées pour Rendez-vous aux jardins en Nouvelle Aquitaine;Nombre d'animations proposées pour Rendez-vous aux jardins;Patrimoine;;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;manifestation nationale;;;;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0675;Nombre de publications scientifiques par le service de la Conservation régionale des monuments historiques (CRMH) de Nouvelle-Aquitaine;Nombre de publications scientifiques par le service de la Conservation régionale des monuments historiques (CRMH);Patrimoine;;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;monument historique (MH);;;;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0717;Liste des sites patrimoniaux remarquables (SPR);Ce jeu de données comprend la liste des communes où est localisé au moins un site patrimonial remarquable (SPR).;Patrimoine;;Administration centrale;Direction générale des patrimoines et de l'architecture;Sous-direction des monuments historiques et des sites patrimoniaux;Bureau des sites patrimoniaux et du patrimoine mondial;;;"site patrimonial remarquable (SPR) ; label et appellation ; lieu culturel";;https://data.culture.gouv.fr/explore/dataset/liste-des-sites-patrimoniaux-remarquables-spr/;;Annuelle;;XLSX;;France entière;;Ouvert;2021-11-23;Actif;France entière;Ouvrable
CAT-0740;Mentions d’événements climatiques et naturels dans les archives depuis la fin du XVIIIe siècle;Les documents d’archives contiennent de nombreuses mentions de catastrophes climatiques ou d’événements naturels, bien avant que la législation s’empare de la question de l’indemnisation des victimes des calamités publiques ou agricoles. Le jeu de données mis à disposition ici est une liste d’événements datés et localisés, élaborée à partir d’informations disséminées dans des inventaires des Archives nationales.;Archives;;Service à compétence nationale;Archives nationales;Direction des fonds;Département de la justice et de l'intérieur;;;"histoire ; climat";;https://data.culture.gouv.fr/explore/dataset/mentions-evenements-climatiques-dans-les-archives/;;;;XLSX;CSV;;;Ouvert;2023-11-23;Actif;;Ouvrable
CAT-0056;Exploitation cinématographique - Données par région;Parc et résultats de fréquentation des cinémas selon la région d'implantation selon critères établissements (total, Art et Essai, petite exploitation, moyenne exploitation, grande exploitation);Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0267;Baromètres des langues du monde;Données statistiques et d'usage sur l'ensemble des langues du monde de plus de 500 000 locuteurs (634 en tout), suivant 12 critères scientifiques;Langues;Langues de France;Administration centrale;Délégation générale à la langue française et aux langues de France;Mission langues et numérique;;;;;;;"https://www.culture.gouv.fr/Sites-thematiques/Langue-francaise-et-langues-de-France/Politiques-de-la-langue/Innover-dans-le-domaine-des-langues-et-du-numerique/La-diversite-linguistique-et-la-creation-artistique-dans-le-domaine-numerique/Barometre-des-langues-dans-le-monde-2017 ; http://www.wikilf.culture.fr/barometre2017/";Annuelle;634;XLS;Plus accès par site internet;Monde;;Non ouvert;2021-11-15;Actif;Monde;Ouvrable
CAT-0372;Éducation artistique : options artistiques obligatoires / facultatives en lycée financées par la DRAC Centre-Val de Loire (2016-2020);Établissements bénéficiaires du soutien de la DRAC au titre de l’éducation artistique (cinéma, théâtre, danse, arts plastiques);Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;éducation artistique et culturelle (EAC);;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0451;Données de programmation budgétaire et financière - Investissement - DRAC Bourgogne Franche-Comté;Suivi de la programmation budgétaire et financière pour l'investissemement - Budget opérationnels de programme (BOP) 131 & 363;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;"budget ; investissement";;;;En continu;50 Ko;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0102;Base de données de gestion des collections du musée Magnin;Notices d'œuvres de la collection du musée Magnin. Collections : 16e - 20e siècles;Patrimoine;Musées;Service à compétence nationale;Musée Magnin;;;data-snum@culture.gouv.fr;;collection;;;;En continu;3666 notices;;Base de données;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0204;Périmètres de monuments historiques - Finistère (Bretagne);Localisation des périmètres;Patrimoine;;Direction régionale des affaires culturelles;DRAC Bretagne;;UDAP 29;data-snum@culture.gouv.fr;Urbanisme;périmètre de monument historique;;;http://atlas.patrimoines.culture.fr/atlas/;En continu;;CSV;;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;ouvrable
CAT-0230;Zones de Présemption de Prescription Archéologique (ZPPA) en Pays de la Loire;Zones de Présemption de Prescription Archéologique (ZPPA) en Pays de la Loire;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Pays de la Loire;;Pôle patrimoines, architecture et espages protégés;data-snum@culture.gouv.fr;;zone de présemption de prescription archéologique (ZPPA);;;;En continu;20 Mo;CSV;shp;Pays de la Loire;;Non ouvert;2021-11-15;Actif;Pays de la Loire;Ouvrable
CAT-0474;Vidéos de synthèse 3D produites par le DRASSM;Restitution numérique 3D d'un objet (épaves, BCM) à partir du traitement d'un lot de photos HD ou BD de cet objet;Patrimoine;Archéologie;Service à compétence nationale;Département des recherches archéologiques subaquatiques et sous-marines (DRASSM);;;le-drassm@culture.gouv.fr;Archéologie maritime;budget;;;;Trimestrielle;;;"ply ; obj ; pdf (3d)";France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0533;Base bibliogaphique des sites archéologiques de la Somme;Inventaire de la bibliographie disponible pour chacun des sites archéologiques de la Somme;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Hauts-de-France;;Service régional de l'archéologie;data-snum@culture.gouv.fr;;"site archéologique ; bibliographie";;;;En continu;14000 notices environ;;;Hauts-de-France;;Non ouvert;2021-11-15;Actif;Hauts-de-France;Ouvrable
CAT-0265;Dictionnaire des francophones;Base de donnée issues de différents dictionnaires et des contributions des usagers;Langues;Langues de France;Administration centrale;Délégation générale à la langue française et aux langues de France;Mission langues et numérique;;data-snum@culture.gouv.fr;;"terminologie ; lexique";;;https://www.dictionnairedesfrancophones.org;En continu;600000;JSON;"Deux points d'accès aux données : 
- Requêtes  sparql selon l'ontologie RDFS/OWL : https://www.dictionnairedesfrancophones.org/sparql 
- API GraphQL : https://www.dictionnairedesfrancophones.org/graphql/playground";Monde;;Non ouvert;2021-11-15;Actif;Monde;Ouvrable
CAT-0489;Dossiers de protection des monuments historiques : notices historiques et documentaires - DRAC Auvergne Rhône-Alpes;Version numérisée des notices historiques et documentaires des monuments historiques protégés (réseau collectif DRAC_Nasaura);Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Auvergne-Rhône-Alpes;;;data-snum@culture.gouv.fr;;immeuble;;;;En continu;Tous documents confondus plus 10 Go;;pdf;Auvergne-Rhône-Alpes;;Non ouvert;2021-11-15;Actif;Auvergne-Rhône-Alpes;Ouvrable
CAT-0561;Mobilier archéologique - La Réunion;Base de données des biens archeologiques mobiliers conservés au centre de stockage de La Réunion;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DAC La Réunion;;;archeologie.daclareunion@culture.gouv.fr;;;;;;En continu;;;Filemaker;La Réunion;;Non ouvert;2021-11-15;Actif;La Réunion;Ouvrable
CAT-0563;Liste des ouvrages du service de l'archéologie - DAC La Réunion;Liste des ouvrages du service de l'archéologie;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DAC La Réunion;;;archeologie.daclareunion@culture.gouv.fr;;bibliographie;;;https://pmb.culture.fr/opac/index.php?database=pmb_reunion;Trimestrielle;;;;La Réunion;;Non ouvert;2021-11-15;Actif;La Réunion;Ouvrable
CAT-0200;Périmètres Délimités des Abords - Côtes-d'Armor (Bretagne);Localisation des Périmètres Délimités des Abords (PDA);Patrimoine;;Direction régionale des affaires culturelles;DRAC Bretagne;;UDAP 22;data-snum@culture.gouv.fr;Urbanisme;"périmètre délimité des abords (PDA) ; géoréférencement";Oui;;http://atlas.patrimoines.culture.fr/atlas/;En continu;;CSV;;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;ouvrable
CAT-0316;Base de données pour la desciption et la localisation des archives du Service régional de l'archéologie d'Occitanie;Base de données pour la desciption et la localisation des archives, liée à Patriarche;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Occitanie;;Pôle Patrimoines et Architecture/ Service régional de l'archéologie;data-snum@culture.gouv.fr;;;;;;Trimestrielle;1 Mo;ODS;Exports depuis Patriarche;Occitanie;;Non ouvert;2021-11-15;Actif;Occitanie;Ouvrable partiellement
CAT-0332;Images numérisées provenant des fonds iconothèque et cartothèque du Centre (Base Ulysse);Cette base a pour objectif de rendre progressivement accessibles les photographies isolées ou en albums, les cartes postales, les affiches, les dessins et gravures, les cartes et plans. Cet ensemble, d'une richesse exceptionnelle pour l'histoire des premier et deuxième empires coloniaux français, provient d'archives publiques et d'archives privées,;Archives;;Service à compétence nationale;Archives nationales d’Outre-Mer;;;data-snum@culture.gouv.fr;;"image ; photographie";;;http://anom.archivesnationales.culture.gouv.fr/ulysse/;En continu;41360 documents numérisés;XML;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
